symbol,cluster_6
APO,0
LII,7
WDAY,5
TPL,2
DELL,6
ERIE,7
PLTR,4
SW,1
CRWD,5
GDDY,6
KKR,0
VST,0
GEV,1
SOLV,0
DECK,0
SMCI,3
BLDR,1
JBL,1
UBER,4
HUBB,7
LULU,2
VLTO,5
ABNB,5
BX,3
KVUE,0
PANW,3
AXON,5
FICO,2
BG,1
PODD,2
GEHC,0
STLD,1
FSLR,3
ACGL,1
TRGP,0
EQT,3
PCG,0
CSGP,3
INVH,5
KDP,0
ON,0
VICI,5
WBD,0
CPT,5
MOH,7
NDSN,5
CEG,0
FDS,2
EPAM,2
BRO,5
DAY,5
MTCH,5
TECH,5
MRNA,3
CRL,7
PTC,5
CZR,0
GNRC,7
NXPI,7
MPWR,2
TRMB,5
ENPH,5
TSLA,4
POOL,7
TER,5
TDY,2
TYL,2
WST,3
DPZ,6
DXCM,5
CARR,0
OTIS,6
IR,5
PAYC,2
LYV,0
STE,5
ZBRA,2
ODFL,5
WRB,1
NOW,2
LVS,0
NVR,2
CDW,7
IEX,5
LDOS,1
TROW,7
TMUS,7
MKTX,2
AMCR,0
CTVA,3
DD,0
DOW,1
FOX,1
FOXA,0
WAB,1
ATO,5
TFX,2
CE,7
FANG,1
LW,0
JKHY,3
KEYS,5
FTNT,5
ROL,5
ANET,5
CPRT,3
CPAY,7
BR,7
EVRG,0
MSCI,2
TTWO,5
HII,7
NCLH,4
CDNS,5
SBAC,2
IQV,7
AOS,3
MGM,0
PKG,1
RMD,5
BKR,0
ALGN,2
ANSS,2
EG,1
HLT,6
IT,7
AMD,3
ARE,5
RJF,1
SRE,0
SNPS,2
REG,5
CBOE,5
INCY,5
IDXX,2
MAA,5
D,0
HWM,0
COO,5
CHTR,2
MTD,2
ALB,5
FTV,5
LNT,0
TDG,2
AJG,5
LKQ,1
DLR,5
GPN,7
ULTA,7
CNC,1
HOLX,5
UDR,5
AWK,5
FRT,5
CFG,0
EXR,5
WTW,7
CHD,5
SYF,0
HPE,0
VRSK,5
NWS,1
UAL,0
PYPL,7
KHC,0
JBHT,1
O,5
EQIX,2
HSIC,1
SWKS,5
HCA,7
RCL,5
UHS,1
URI,7
MLM,7
AVGO,4
GOOGL,3
ESS,2
TSCO,0
META,3
MHK,1
ALLE,7
AME,5
VRTX,5
DAL,0
NWSA,1
ZTS,5
GM,0
REGN,2
ABBV,0
APTV,1
GRMN,5
HUM,7
DG,7
MDLZ,0
PNR,1
LYB,1
STX,0
LRCX,0
MNST,5
KMI,0
PSX,1
CCI,5
BWA,1
DLTR,1
XYL,5
TEL,1
MOS,1
ACN,7
FCX,4
MPC,1
CMG,0
BLK,2
EW,3
FFIV,3
NFLX,2
TT,7
JCI,0
CB,1
KMX,1
OKE,0
BRK-B,7
NRG,0
ROP,2
ROST,1
V,5
BKNG,2
FMC,1
ES,0
PWR,1
WDC,0
ORLY,2
HRL,1
VTR,5
WELL,5
IRM,0
RSG,5
WYNN,0
SJM,1
WEC,5
NDAQ,5
APH,0
LHX,7
CRM,3
FAST,3
CF,1
IVZ,0
DVA,7
MA,2
CTRA,0
ISRG,5
DOC,5
PM,6
AMT,2
J,1
EXPD,1
EXPE,7
ICE,5
MCHP,5
AKAM,5
DFS,1
AIZ,1
HST,0
CHRW,1
RL,1
AVB,5
CTSH,3
CBRE,1
FIS,5
CME,3
JNPR,0
KIM,0
BXP,5
GOOG,3
VRSN,2
EL,7
AMZN,4
LEN,1
AMP,7
PSA,2
TSN,1
STZ,7
DHI,3
LH,7
TPR,0
TMO,2
GILD,0
