Symbol,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,symbol,calendarYear,period,currentRatio,quickRatio,cashRatio,daysOfSalesOutstanding,daysOfInventoryOutstanding,operatingCycle,daysOfPayablesOutstanding,cashConversionCycle,grossProfitMargin,operatingProfitMargin,pretaxProfitMargin,netProfitMargin,effectiveTaxRate,returnOnAssets,returnOnEquity,returnOnCapitalEmployed,netIncomePerEBT,ebtPerEbit,ebitPerRevenue,debtRatio,debtEquityRatio,longTermDebtToCapitalization,totalDebtToCapitalization,interestCoverage,cashFlowToDebtRatio,companyEquityMultiplier,receivablesTurnover,payablesTurnover,inventoryTurnover,fixedAssetTurnover,assetTurnover,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,payoutRatio,operatingCashFlowSalesRatio,freeCashFlowOperatingCashFlowRatio,cashFlowCoverageRatios,shortTermCoverageRatios,capitalExpenditureCoverageRatio,dividendPaidAndCapexCoverageRatio,dividendPayoutRatio,priceBookValueRatio,priceToBookRatio,priceToSalesRatio,priceEarningsRatio,priceToFreeCashFlowsRatio,priceToOperatingCashFlowsRatio,priceCashFlowRatio,priceEarningsToGrowthRatio,priceSalesRatio,dividendYield,enterpriseValueMultiple,priceFairValue
APO,APO,USD,0001858681,2023-11-07,2023-11-07 16:29:58,2023,Q3,12935000000.0,135772000000.0,148707000000.0,4566000000,21372000000.0,1492000000.0,150707000000.0,0,4324000000.0,0,4324000000,101400000000,0,26804000000,132528000000,0,283235000000.0,3657000000.0,31000000.0,0,189065000000.0,-192742000000.0,201283000000.0,7006000000,0,0,258256000000,64277000000,0.0,0.0,265560000000.0,1397000000.0,0.0,535000000.0,-8095000000.0,14605000000.0,8442000000.0,17675000000.0,283235000000.0,9233000000,283235000000.0,237172000000,7037000000,-5898000000.0,https://www.sec.gov/Archives/edgar/data/1858681/000185868123000042/0001858681-23-000042-index.htm,https://www.sec.gov/Archives/edgar/data/1858681/000185868123000042/apo-20230930.htm,90.04,90.4,89.19,89.6,87.6,1727600,1727600,-0.44,-0.48867,89.8075,"October 02, 23",-0.0048867,APO,2023,Q3,0.7487318849579945,0.6425530223615507,0.06426275443032943,158.35838150289018,7572.755905511811,7731.114287014702,1295.7874015748032,6435.326885439899,0.9021194605009634,0.45163776493256264,0.3402697495183044,0.2628131021194605,0.27519818799546997,0.0024078945045633484,0.08078654347311064,0.014301054275673564,0.7723669309173273,0.7534129692832765,0.45163776493256264,0.02484509329708546,0.8335702440180052,0.45352149145520454,0.4546159312617094,18.3125,-0.051726588034673865,33.55069888651978,0.5683311432325887,0.0694558381186765,0.011884708965000936,0.0,0.009162003283492506,-0.6288903682978093,-16.73815903315708,256.9241758199515,0.375366568914956,-0.14026974951830443,26.615384615384617,-0.051726588034673865,-11.741935483870968,-0.03903903903903904,-0.037995824634655534,0.375366568914956,6.154091319118693,6.154091319118693,20.02036181734104,19.044295790322582,-5.362596915359207,-142.72757943956046,-142.72757943956046,-0.5951342434475808,20.02036181734104,0.0049275459309146485,32.593658114649685,6.154091319118693
APO,APO,USD,0001858681,2023-08-07,2023-08-07 16:02:51,2023,Q2,12311000000.0,133607000000.0,145918000000.0,4739000000,23296000000.0,2473000000.0,148894000000.0,954735000,4329000000.0,168435000,4329000000,102303000000,594851000,24908414000,133090000000,0,281984000000.0,3286000000.0,33000000.0,0,184359000000.0,-187410000000.0,198415000000.0,7390172000,0,0,256998828000,66242000000,0.0,701172000.0,264657000000.0,554213000.0,0.0,153000000.0,-6392000000.0,14468000000.0,8229000000.0,17327000000.0,281984000000.0,9098000000,281984000000.0,520000000,6722000000,-5589000000.0,https://www.sec.gov/Archives/edgar/data/1858681/000185868123000026/0001858681-23-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1858681/000185868123000026/apo-20230630.htm,76.75,77.6,76.36,76.81,74.69,2042017,2042017,0.06,0.0781759,76.88,"June 30, 23",0.000781759,APO,2023,Q2,0.7504170551621602,0.6330065771237053,0.06204672025804501,31.127572617136185,8158.1322957198445,8189.259868336981,1150.739299610895,7038.520568726086,0.9812436140709385,0.08349146110056926,0.06940592614216903,0.04371624580353233,0.2113564668769716,0.0021242339990921472,0.07279134767286426,0.01368928669722026,0.629863301787592,0.8312937062937062,0.08349146110056926,0.02383823195642306,0.8168671770567505,0.4483845019439603,0.44960203330880877,21.185185185185187,0.5282653972032133,34.2671041438814,2.891327284237181,0.07821059038344491,0.011031936813186814,14.351626367526068,0.04859140944167045,6.132987910189983,-9.378238341968911,252.01727115716753,0.4273789649415693,0.25915924682528096,-1.5291467192340187,0.5282653972032133,107.60606060606061,0.39539026834428237,0.3844321749485764,0.4273789649415693,5.404422165512213,5.404422165512213,3.245729820464166,18.561348080133556,-8.190237569060773,12.524074908476486,12.524074908476486,-0.4626485267734783,3.245729820464166,0.005756302870573802,29.36857250755287,5.404422165512213
APO,APO,USD,0001858681,2023-05-09,2023-05-09 16:18:23,2023,Q1,1377564000.0,122786000000.0,1377564000.0,4693000000,24732210000.0,2209000000.0,3213889000.0,623779000,263744000.0,0,263744000,7413202000,610116000,1243931000,10154772000,0,13368661000.0,3189000000.0,0.0,0,205381000.0,-184289000000.0,3411929000.0,3564648000,0,0,249025352000,5359862000,0.0,0.0,8771791000.0,554213000.0,172000000.0,-172000000.0,-10809000.0,14408000000.0,1783621000.0,4596870000.0,13368661000.0,2813249000,13368661000.0,582000000,3564648000,2187084000.0,https://www.sec.gov/Archives/edgar/data/1858681/000185868123000017/0001858681-23-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1858681/000185868123000017/apo-20230331.htm,62.08,63.33,61.86,63.16,61.0,2414449,2414449,1.08,1.74,62.6075,"March 31, 23",0.0174,APO,2023,Q1,0.9419565881939512,-6.306790381628692,0.4037493160027656,79.6774193548387,8729.015294117647,8808.692713472485,1125.5294117647059,7683.163301707778,0.9518958687040181,0.3699302018487078,0.3378607809847199,0.1905300886625165,0.14126186487995535,0.07554982507223423,0.5662637970734814,0.19695217266066817,0.5639307649357901,0.9133095359510454,0.3699302018487078,0.2666421117268214,1.9985456551588034,0.6665049944196898,0.6665049944196898,32.68333333333333,0.3004504231553859,7.495236375889273,1.1295546558704452,0.0799623706491063,0.010310441323278428,8.498202087598331,0.39652437891872644,1.8335401424518938,1.8335401424518938,212.56664689439293,0.2386138613861386,0.20203735144312393,1.0,0.3004504231553859,0.0,0.0,4.443983402489627,0.2386138613861386,20.684193530643558,20.684193530643558,6.959585351692134,9.131871769633662,34.44702329535014,34.447023295350135,34.447023295350135,0.0,6.959585351692134,0.006532446671546696,18.38186545123236,20.684193530643558
LII,LII,USD,0001069202,2023-10-26,2023-10-26 14:17:14,2023,Q3,132000000.0,9600000.0,141600000.0,694800000,747900000.0,158100000.0,1742400000.0,816200000,181700000.0,0,181700000,0,50100000,99700000,1147700000,0,2890100000.0,345800000.0,493600000.0,9000000,9000000.0,406600000.0,1255000000.0,1284100000,0,0,191500000,1475600000,0.0,266200000.0,2730600000.0,0.0,900000.0,3400300000.0,-77000000.0,-3164700000.0,159500000.0,159500000.0,2890100000.0,0,2890100000.0,9600000,1705900000,1573900000.0,https://www.sec.gov/Archives/edgar/data/1069202/000162828023035265/0001628280-23-035265-index.htm,https://www.sec.gov/Archives/edgar/data/1069202/000162828023035265/lii-20230930.htm,374.13,378.57,366.36,368.84,364.94,411106,411106,-5.29,-1.41,371.975,"October 02, 23",-0.0141,LII,2023,Q3,1.388366533864542,0.7924302788844622,0.1051792828685259,45.76740101002708,71.77543186180422,117.54283287183131,33.186180422264876,84.35665244956644,0.3136207275122594,0.13671960769962674,0.12822952499451074,0.09544024006440753,0.2557077625570776,0.045119546036469324,0.8175548589341692,0.1142437771390129,0.7442922374429224,0.9379014989293362,0.13671960769962674,0.5902563925123698,10.695297805642634,0.872318283701569,0.9144955505521604,16.678571428571427,0.18359810070930302,18.119749216300942,1.9664651698330455,2.711972238288028,1.253910950661853,1.6739769664297965,0.4727518078959206,8.822535211267606,7.704225352112676,3.988732394366197,0.5996932515337423,0.22923223303813217,0.8732439335887612,0.18359810070930302,0.7425320056899004,7.889168765743073,2.6564885496183206,0.5996932515337423,83.3393103448276,83.3393103448276,9.728917514455098,25.484317484662576,48.6019012797075,42.44131545338441,42.44131545338441,-0.6365878490046325,9.728917514455098,0.005882963629442503,55.84718256949662,83.3393103448276
LII,LII,USD,0001069202,2023-07-27,2023-07-27 11:01:51,2023,Q2,51400000.0,7200000.0,58600000.0,843600000,856000000.0,68600000.0,1826800000.0,822700000,186400000.0,0,186400000,0,46300000,99100000,1154500000,0,2981300000.0,470100000.0,899200000.0,21800000,21800000.0,350800000.0,1741900000.0,977300000,6900000,-6900000,199500000,1176800000,0.0,265300000.0,2918700000.0,0.0,900000.0,3309000000.0,-75800000.0,-3171500000.0,62600000.0,62600000.0,2981300000.0,0,2981300000.0,7200000,1801800000,1750400000.0,https://www.sec.gov/Archives/edgar/data/1069202/000162828023025847/0001628280-23-025847-index.htm,https://www.sec.gov/Archives/edgar/data/1069202/000162828023025847/lii-20230630.htm,325.13,328.77,323.57,326.07,321.67,231338,231338,0.94,0.28912,325.885,"June 30, 23",0.0028912,LII,2023,Q2,1.0487398817383318,0.5573224639761181,0.02950800849646937,53.793396627462094,80.78859060402685,134.58198723148894,44.367659395973156,90.21432783551579,0.3243587926881111,0.1975343630437863,0.18683576590619244,0.1538897548533371,0.17633674630261661,0.0728541240398484,3.4696485623003195,0.2249475552686784,0.8236632536973834,0.9458393113342898,0.1975343630437863,0.6043672223526649,28.782747603833865,0.926292240668786,0.9664235142673246,18.586666666666666,0.1085026085026085,47.62460063897763,1.673067804646752,2.028504573495001,1.114018691588785,1.7155706819010574,0.47341763660148256,5.507042253521127,4.101408450704225,1.6507042253521127,0.1731123388581952,0.13851494969533795,0.7447570332480818,0.1085026085026085,0.23711340206185566,3.917835671342685,2.2342857142857144,0.1731123388581952,184.91190095846645,184.91190095846645,8.20142057531529,13.323532458563536,79.50195741758242,59.20964194373401,59.20964194373401,0.10944330233820046,8.20142057531529,0.003248244026060247,44.47892189586115,184.91190095846645
LII,LII,USD,0001069202,2023-04-27,2023-04-27 12:18:03,2023,Q1,40400000.0,7100000.0,47500000.0,642500000,904100000.0,77500000.0,1671600000.0,785000000,186300000.0,0,186300000,0,34000000,93500000,1098800000,0,2770400000.0,445000000.0,796000000.0,18400000,12500000.0,267000000.0,1526400000.0,1141600000,6700000,-6700000,228300000,1369900000,0.0,234000000.0,2896300000.0,0.0,900000.0,3130900000.0,-78600000.0,-3179100000.0,-125900000.0,-125900000.0,2770400000.0,0,2770400000.0,7100000,1890700000,1850300000.0,https://www.sec.gov/Archives/edgar/data/1069202/000162828023013427/0001628280-23-013427-index.htm,https://www.sec.gov/Archives/edgar/data/1069202/000162828023013427/lii-20230331.htm,247.5,251.88,247.4,251.28,247.04,288900,288900,3.78,1.53,249.515,"March 31, 23",0.0153,LII,2023,Q1,1.095125786163522,0.5028170859538784,0.026467505241090147,55.102915951972555,109.54361873990307,164.64653469187562,53.917609046849755,110.72892564502585,0.292166952544311,0.13293310463121785,0.11921097770154374,0.09338669716028207,0.21662669864108713,0.03537395321975166,-0.778395552025417,0.11213826366559486,0.7833733013589129,0.896774193548387,0.13293310463121785,0.6824646260467803,-15.017474185861795,1.1470107426436245,1.0713395285584768,9.82394366197183,-0.04167768551330195,-22.004765687053215,1.633307392996109,1.6692134831460674,0.8215905320207941,1.3368152866242038,0.37879006641640195,-2.219718309859155,-3.2169014084507044,1.3380281690140845,0.3836734693877551,-0.0750905279207166,1.4492385786802031,-0.04167768551330195,-0.10924719256897268,-2.225988700564972,-1.0794520547945206,0.3836734693877551,-70.85337569499603,-70.85337569499603,8.500514579759862,22.75622448979592,-78.1124343257443,-113.20355329949238,-113.20355329949238,6.751013265306151,8.500514579759862,0.004215038720063136,67.78313404657017,-70.85337569499603
WDAY,WDAY,USD,0001327811,2023-11-28,2023-11-28 17:21:04,2024,Q3,1563939000.0,5316045000.0,6879984000.0,1224818000,207566000.0,469361000.0,8574163000.0,1472527000,2846464000.0,276417000,3122881000,250311000,7105000,498946000,5351770000,0,13925933000.0,79333000.0,196650000.0,0,3196648000.0,556759000.0,4029390000.0,3177643000,62148000,0,31835000,3271626000,0.0,297168000.0,7301016000.0,0.0,264000.0,-2918829000.0,33207000.0,9510275000.0,6624917000.0,6624917000.0,13925933000.0,0,13925933000.0,5566356000,3275968000,1712029000.0,https://www.sec.gov/Archives/edgar/data/1327811/000132781123000202/0001327811-23-000202-index.htm,https://www.sec.gov/Archives/edgar/data/1327811/000132781123000202/wday-20231031.htm,207.55,213.23,206.79,211.71,211.71,1888719,1888700,4.16,2.0,211.33,"October 31, 23",0.02,WDAY,2024,Q3,2.1279059609519058,2.076392952779453,0.3881329431998392,59.08511396679486,41.957011948611985,101.04212591540684,16.03622765250202,85.00589826290482,0.7613517895667787,0.04709019523764857,0.06927412330657805,0.06094791429375427,0.12019219609572665,0.00816526978838689,0.017163837675249365,0.008877342320444624,0.8798078039042734,1.4710944169369984,0.04709019523764857,0.23524226348065871,0.4944919309932487,0.3101715721110899,0.3308762802517149,3.0788505344314,0.13760055043272706,2.1020539578080752,1.5232263079086035,5.612292488623901,2.1450526579497606,1.2669886528396423,0.13397127503054912,1.7195111251826223,1.493597250460609,26.244155130782406,0.0,0.24161496509306282,0.868617381176862,0.13760055043272706,4.584541062801932,7.611356882344995,7.611356882344995,0.0,8.377525579565752,8.377525579565752,29.748167086979244,122.02290854285941,141.74503865396844,123.12220427042317,123.12220427042317,2.8159132740659865,29.748167086979244,0.0,365.6471290159712,8.377525579565752
WDAY,WDAY,USD,0001327811,2023-08-24,2023-08-24 17:03:17,2024,Q2,1435690000.0,5221401000.0,6657091000.0,1270936000,198677000.0,453667000.0,8381694000.0,1483974000,2840044000.0,263056000,3103100000,261506000,9859000,495182000,5353621000,0,13735315000.0,88814000.0,197620000.0,0,3308998000.0,586527000.0,4181959000.0,3169983000,60463000,0,48357000,3278803000,0.0,290948000.0,7460762000.0,0.0,263000.0,-3032538000.0,-6780000.0,9313608000.0,6274553000.0,6274553000.0,13735315000.0,0,13735315000.0,5221401000,3268793000,1833103000.0,https://www.sec.gov/Archives/edgar/data/1327811/000132781123000150/0001327811-23-000150-index.htm,https://www.sec.gov/Archives/edgar/data/1327811/000132781123000150/wday-20230731.htm,235.15,238.67,234.71,237.13,237.13,1104144,1104100,1.98,0.84202,236.63,"July 31, 23",0.0084202,WDAY,2024,Q2,2.0042506394730317,1.9567425218659484,0.34330561346966815,64.01747067047391,39.90388306181656,103.92135373229047,17.838116491854496,86.08323724043598,0.7492117042746504,0.020291968842030796,0.04578775284508436,0.044213959746267836,0.03852735540018579,0.005751597251318954,0.01259053832201274,0.0037952108138752496,0.9656285141544028,2.2564470309181677,0.020291968842030796,0.23798456751810934,0.5209602978889493,0.3218457528523957,0.34252064213117706,1.2705705074292122,0.13009817385193861,2.1890507578786886,1.4058662277250782,5.0453757290517265,2.255419600658355,1.2040413106968182,0.13008554954873625,1.628172486800847,1.3840867411204827,25.48744405435103,0.0,0.23800766300679552,0.8500860641860115,0.13009817385193861,4.303855885031879,6.670493937540194,6.670493937540194,0.0,9.871017398370848,9.871017398370848,34.66386859275361,196.00070199367087,171.3259674809342,145.64181738872793,145.64181738872793,0.0032721319197607825,34.66386859275361,0.0,592.2554130135968,9.871017398370848
WDAY,WDAY,USD,0001327811,2023-05-25,2023-05-25 16:08:53,2024,Q1,1443651000.0,4885310000.0,6328961000.0,1089286000,191966000.0,454846000.0,7873093000.0,1472776000,2840044000.0,312882000,3152926000,271122000,9567000,473312000,5379703000,0,13252796000.0,113263000.0,190016000.0,0,3227550000.0,513260000.0,4044089000.0,3159904000,62200000,0,44740000,3266844000,0.0,278023000.0,7310933000.0,0.0,261000.0,-3111198000.0,42650000.0,9010150000.0,5941863000.0,5941863000.0,13252796000.0,0,13252796000.0,4885310000,3254912000,1811261000.0,https://www.sec.gov/Archives/edgar/data/1327811/000132781123000078/0001327811-23-000078-index.htm,https://www.sec.gov/Archives/edgar/data/1327811/000132781123000078/wday-20230430.htm,185.51,186.93,184.785,186.34,186.339996,1074661,1074600,0.83,0.44742,186.16,"May 01, 23",0.0044742,WDAY,2024,Q1,1.9468149687111238,1.8993466760993638,0.3569780487026868,58.205213760870905,41.38744358524736,99.59265734611827,24.419251444505132,75.17340590161314,0.7521575575071602,-0.011755541728610852,0.004101971606210726,8.074513510560989e-05,0.9803155304675062,1.0261985470839511e-05,2.288844424719991e-05,-0.0021501389934547813,0.019684469532493847,-0.34893939393939394,-0.011755541728610852,0.24560190921221453,0.5477931753054556,0.33377864974830557,0.35391884655218814,-0.6936173194142787,0.0851992311927327,2.2304108997464263,1.5462532337696435,3.685616662105012,2.174572580561141,1.1436308033265072,0.12709106817912236,1.0714627926744456,0.8076655590758056,24.453137315508847,0.0,0.16464645505108316,0.75379711231952,0.0851992311927327,2.9188699898955877,4.061690784463062,4.061690784463062,0.0,8.116733556462005,8.116733556462005,28.63395784154005,88655.36544117647,230.71430730960583,173.9117786207792,173.9117786207792,-885.6499299934042,28.63395784154005,0.0,472.5370155624386,8.116733556462005
WDAY,WDAY,USD,0001327811,2023-02-27,2023-02-27 16:10:12,2023,Q4,1886000000.0,4235000000.0,6121000000.0,1570000000,0.0,417000000.0,8108000000.0,1450000000,2840000000.0,327000000,3167000000,263000000,13000000,485000000,5378000000,0,13486000000.0,154000000.0,91000000.0,0,3559000000.0,824000000.0,4628000000.0,3158000000,75000000,0,40000000,3273000000,0.0,273000000.0,7901000000.0,0.0,0.0,-3112000000.0,53000000.0,8644000000.0,5585000000.0,5585000000.0,13486000000.0,0,13486000000.0,4498000000,3249000000,1363000000.0,https://www.sec.gov/Archives/edgar/data/1327811/000132781123000024/0001327811-23-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1327811/000132781123000024/wday-20230131.htm,177.7,181.51,176.9,181.43,181.429993,1971513,1971400,3.73,2.1,179.99,"January 31, 23",0.021,WDAY,2023,Q4,1.7519446845289541,1.7519446845289541,0.40751944684528957,85.83091370743382,0.0,85.83091370743382,30.5637085730541,55.26720513437972,0.7245398661207829,-0.05403642195036021,-0.047330919781808464,-0.07635306695175732,-0.6131752204212066,-0.009320554649265905,-0.022506177260519247,-0.010042673289681643,1.6131752204212066,0.8759077317385733,-0.05403642195036021,0.2409165060062287,0.5817367949865712,0.3476229412451816,0.36778356350464114,-3.115976041192336,0.2137433056325023,2.4146821844225603,1.0485732484076433,2.944668831168831,0.0,1.135351724137931,0.12207177814029364,2.698766525986896,2.4129806234989624,23.787317058005144,0.0,0.4218361619671255,0.8941049921376856,0.2137433056325023,0.0,9.443315791620773,9.443315791620773,0.0,8.359163914055506,8.359163914055506,28.358783217717736,-92.85410642258765,75.18916572853202,67.22700843254826,67.22700843254826,-1.3463845431275208,28.358783217717736,0.0,1183.7044358494284,8.359163914055506
